name,address,lat,lng,id,place_id,price_level
Baraonda,"1439 2nd Avenue, New York",40.7707616,-73.9572305,e8cce4b6564d45689cedf0484aa648eff57adf25,ChIJJxC4e8BYwokRM7y18mdRaL4,2
Boqueria UES,"1460 2nd Avenue, New York",40.7714972,-73.9560387,1e5320a50bdd7d3ff573b855c042e9f029622228,ChIJYwAAe79YwokRAzRYCHUFTJY,2
Candle Cafe,"1307 3rd Avenue, New York",40.7714234,-73.9590255,d3face1e5f1d1acde61f837b0a6daad32bdd424b,ChIJ1RRX_79YwokRD0QHGf9YnXw,2
McKeown's,"1303 3rd Avenue, New York",40.77136,-73.959134,39a116fac9e2c7f1b661d68409221c9b76501349,ChIJA4Y_AMBYwokRphyDbDlfIg4,2
Tang's Garden,"1328 3rd Avenue, New York",40.7723185,-73.9590153,0b35cea4ffd6e1654e4cf1ea5d8eb94d0306ca91,ChIJdfvO5b9YwokRqOQhe3uS_AQ,2
J.G. Melon,"1291 3rd Avenue, New York",40.7710574,-73.9593345,467581e5e097a735f18a9043c05c706c5b15f0f1,ChIJORutA8BYwokR6obC5YpaamM,2
Mezzaluna,"1295 3rd Avenue #1, New York",40.7711666,-73.9592698,4cec90abe25df10d3ff04607b84ee2955b43621b,ChIJLcHEA8BYwokRzRI1K_H7GE0,2
Dallas BBQ,"1265 3rd Avenue, New York",40.7701195,-73.9599553,37805d45ad6be9bd0c2da7f7333016beb0bb62be,ChIJOZSQmepYwokRGyoFV_YPkbU,2
Persepolis Restaurant,"1407 2nd Avenue, New York",40.7698025,-73.9579105,f397033c31abe0930370765c0834b863ce34db0b,ChIJ68H4QMBYwokR42l6M4OIUCM,2
Uskudar Turkish Restaurant,"1405 2nd Avenue #1, New York",40.7697546,-73.9579402,a7e50a707a69111c48c42f3012ab66af0313abaa,ChIJcdyqQMBYwokR3Jkl4_zhfqk,2
Six Happiness,"1413 2nd Avenue, New York",40.770006,-73.957821,1dbc54b159bac4b235a7dde6ecd102be8b40fbcf,ChIJCcq_QcBYwokR6Hpv60WqLiw,2
Cafe Mingala,"1393 B 2nd Ave, Manhattan",40.7693289,-73.9582781,95c74a2ecb7294ff4de4b2a78e373c31db9cb820,ChIJu-D-NsBYwokRD_2suTyhUz0,2
Little Vincent's Pizza,"1399 2nd Avenue, New York",40.7694501,-73.9581412,6d58f66fada861cc45ed474e7d7d57db5f2b201b,ChIJ90r0N8BYwokRT_Pu0DkD8Hk,2
