ID,County,Income_Avg,Rent_Median,Population
36047031702,Brooklyn,78660,1381,4114
36047031900,Brooklyn,53351,1109,3652
36047032100,Brooklyn,51315,1221,5898
36047032300,Brooklyn,58461,1258,3743
36047032500,Brooklyn,57642,1180,6640
36047032600,Brooklyn,39152,842,7140
36047032700,Brooklyn,70609,1139,2585
36047032800,Brooklyn,49898,842,2363
36047032900,Brooklyn,52763,1215,5494
36047033000,Brooklyn,38051,522,4331
36047033100,Brooklyn,48605,1148,4350
36047033300,Brooklyn,54258,1234,4482
36047033500,Brooklyn,70489,1279,3012
36047033600,Brooklyn,72026,1121,4287
36047033700,Brooklyn,59520,1224,3832
36047033900,Brooklyn,55795,944,4365
36047034000,Brooklyn,27291,493,2321
36047034100,Brooklyn,60876,1157,2643
36047034200,Brooklyn,36874,388,5694
36047034300,Brooklyn,44592,643,5026
36047034500,Brooklyn,41520,1144,2579
36047034700,Brooklyn,36206,832,3157
36047034800,Brooklyn,56008,1283,2080
36047034900,Brooklyn,39860,1112,5737
36047035000,Brooklyn,42541,984,2812
36047035100,Brooklyn,35336,1040,4409
36047035200,Brooklyn,17309,285,1013
36047035300,Brooklyn,52776,1136,4686
36047035400,Brooklyn,63933,790,5082
36047035500,Brooklyn,44841,1117,4952
36047035601,Brooklyn,49181,888,2503
36047035602,Brooklyn,51618,1055,4580
36047035700,Brooklyn,29566,1106,2544
36047035900,Brooklyn,38753,1113,5068
36047036001,Brooklyn,52704,1000,2928
36047036002,Brooklyn,32504,1038,3818
36047036100,Brooklyn,46961,934,2407
36047036200,Brooklyn,43517,1011,3178
36047036300,Brooklyn,41179,1184,3977
36047036400,Brooklyn,53444,1197,2126
36047036501,Brooklyn,46165,972,2624
36047036502,Brooklyn,73482,1028,1101
36047036600,Brooklyn,51455,1116,4433
36047036700,Brooklyn,52497,1132,1285
36047036900,Brooklyn,37695,1013,4785
36047037000,Brooklyn,94790,1299,4085
36047037100,Brooklyn,54887,1162,4357
36047037300,Brooklyn,42510,1018,3918
36047037401,Brooklyn,66816,1210,4177
36047037402,Brooklyn,47449,921,4367
36047037500,Brooklyn,51798,1213,3228
36047037700,Brooklyn,66796,1324,4123
36047037900,Brooklyn,53501,1217,3412
36047038100,Brooklyn,36146,615,5047
36047038200,Brooklyn,34314,604,5841
36047038300,Brooklyn,71429,1293,4509
36047038500,Brooklyn,49866,1049,3404
36047038600,Brooklyn,52184,1196,3494
36047038700,Brooklyn,49594,1012,3951
36047038800,Brooklyn,66992,1290,4122
36047038900,Brooklyn,59577,1163,3331
36047039000,Brooklyn,73806,1162,2318
36047039100,Brooklyn,47454,1115,3187
36047039200,Brooklyn,44954,1191,2714
36047039300,Brooklyn,73729,1180,3768
36047039400,Brooklyn,74370,1309,2152
36047039500,Brooklyn,41679,1204,3847
36047039600,Brooklyn,83806,1222,1992
36047039700,Brooklyn,45087,1220,3062
36047039800,Brooklyn,62766,1173,2699
36047039900,Brooklyn,47852,1118,3680
36047040000,Brooklyn,51101,1263,3623
36047040100,Brooklyn,51384,1161,3379
36047040200,Brooklyn,63495,1077,2490
36047040300,Brooklyn,39567,1349,3985
36047040400,Brooklyn,73057,1104,2279
36047040500,Brooklyn,50329,1160,1445
36047040600,Brooklyn,57748,1203,3030
36047040800,Brooklyn,57704,1199,3125
36047040900,Brooklyn,49420,1214,3944
36047041000,Brooklyn,64208,973,1794
36047041100,Brooklyn,46541,1082,3380
36047041200,Brooklyn,93005,1163,2728
36047041300,Brooklyn,47401,1234,3895
36047041401,Brooklyn,61628,1241,1265
36047041402,Brooklyn,83755,1108,1735
36047041500,Brooklyn,56974,1433,4238
36047041600,Brooklyn,73413,1211,2736
36047041700,Brooklyn,37589,863,3389
36047041800,Brooklyn,60543,1074,2024
36047041900,Brooklyn,48128,1044,4048
36047042000,Brooklyn,80082,1344,1979
36047042100,Brooklyn,48103,1203,3839
36047042200,Brooklyn,86620,1395,2993
36047042300,Brooklyn,59672,1357,4851
36047042400,Brooklyn,60311,1142,3113
36047042500,Brooklyn,51097,1244,2665
36047042600,Brooklyn,60073,1113,4417
36047042700,Brooklyn,55144,1314,5773
36047042800,Brooklyn,60284,1190,4036
36047042900,Brooklyn,53220,1201,5835
36047043000,Brooklyn,53817,1153,3080
36047043100,Brooklyn,55695,1243,5695
36047043200,Brooklyn,58057,1178,4730
36047043300,Brooklyn,46823,1089,4370
36047043400,Brooklyn,58028,1179,3472
36047043500,Brooklyn,65893,1360,5161
36047043600,Brooklyn,71747,1135,4360
